Timestamp,Torque,Temperature,RPM
1695654796,6.25,21.20,0.00
1695654797,6.25,21.42,0.00
1695654798,6.24,21.19,0.00
1695654798,6.24,20.89,0.00
1695654799,6.24,20.81,0.00
1695654800,6.23,20.81,0.00
1695654801,6.23,20.52,0.00
1695654802,6.22,20.29,0.00
1695654803,6.22,20.41,0.00
1695654803,6.21,20.59,0.00
1695654804,6.21,20.39,0.00
1695654805,6.20,20.34,0.00
1695654806,6.20,20.28,0.00
1695654807,6.19,20.05,0.00
1695654808,6.19,20.21,0.00
1695654809,6.19,20.02,0.00
1695654809,6.19,19.98,0.00
1695654810,6.18,19.92,0.00
1695654811,6.18,19.67,0.00
1695654812,6.18,19.70,0.00
1695654813,6.17,19.47,0.00
1695654814,6.17,19.42,0.00
1695654814,6.16,19.17,0.00
1695654815,6.16,19.22,0.00
1695654816,6.16,19.27,0.00
1695654817,6.15,18.86,0.00
1695654818,6.15,19.04,0.00
1695654819,6.15,18.90,0.00
1695654820,6.14,18.91,0.00
1695654820,6.14,18.99,0.00
1695654821,6.14,18.98,0.00
1695654822,6.14,18.74,0.00
1695654823,6.13,18.78,0.00
1695654824,6.11,18.92,0.00
1695654825,6.08,18.95,0.00
1695654826,6.08,19.15,0.00
1695654826,6.05,19.31,0.00
1695654827,6.04,19.15,0.00
1695654828,6.03,19.38,0.00
1695654829,6.02,18.64,0.00
1695654830,6.01,18.24,0.00
1695654831,6.00,18.29,0.00
1695654831,5.99,18.12,0.00
1695654832,5.98,18.76,0.00
1695654833,5.97,18.35,0.00
1695654834,5.97,18.13,0.00
1695654835,5.96,18.78,0.00
1695654836,5.95,18.78,0.00
1695654837,5.95,19.11,0.00
1695654837,5.94,18.89,0.00
1695654838,5.93,18.81,0.00
1695654839,5.95,18.69,0.00
1695654840,5.94,18.36,0.00
1695654841,5.93,16.67,0.00
1695654842,5.93,16.09,0.00
1695654842,5.92,16.58,0.00
1695654843,5.90,17.25,0.00
1695654844,5.90,16.83,0.00
1695654845,5.88,16.88,0.00
1695654846,5.86,16.74,0.00
1695654847,5.84,17.13,0.00
1695654848,5.84,16.88,0.00
1695654848,5.85,16.93,0.00
1695654849,5.84,16.90,0.00
1695654850,5.84,16.85,0.00
1695654851,5.84,16.86,0.00
1695654852,5.84,16.75,0.00
1695654853,5.83,16.66,0.00
1695654854,5.83,16.58,0.00
1695654854,5.82,16.67,0.00
1695654855,5.82,16.42,0.00
1695654856,5.81,16.66,0.00
1695654857,5.80,16.32,0.00
1695654858,5.80,16.40,0.00
1695654859,5.78,16.41,0.00
